#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
ovium_fluid                                       (taiga:molten_ovium_fluid)                                                       = Ovium Fluid
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = Terrax Fluid
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = Palladium Fluid
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = Uru Fluid
osram_fluid                                       (taiga:molten_osram_fluid)                                                       = Osram Fluid
abyssum_fluid                                     (taiga:molten_abyssum_fluid)                                                     = Abyssum Fluid
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = Eezo Fluid
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = Triberium Fluid
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = Fractum Fluid
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = Violium Fluid
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = Proxii Fluid
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = Tritonite Fluid
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = Ignitz Fluid
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = Imperomite Fluid
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = Solarium Fluid
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = Nihilite Fluid
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = Adamant Fluid
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = Dyonite Fluid
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = Nucleum Fluid
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = Lumix Fluid
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = Seismum Fluid
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = Astrium Fluid
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = Niob Fluid
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = Yrdeen Fluid
iox_fluid                                         (taiga:molten_iox_fluid)                                                         = Iox Fluid
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = Meteorite Fluid
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = Obsidiorite Fluid
magma_fluid                                       (taiga:molten_magma_fluid)                                                       = Magma Fluid
nitronite_fluid                                   (taiga:molten_nitronite_fluid)                                                   = Nitronite Fluid
dilithium_fluid                                   (taiga:molten_dilithium_fluid)                                                   = Dilithium Fluid
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = Molten Refined Obsidian
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = Molten Refined Glowstone
osmium                                            (tconstruct:molten_osmium)                                                       = Molten Osmium
manasteel                                         (tconstruct:molten_manasteel)                                                    = Molten Manasteel
terrasteel                                        (tconstruct:molten_terrasteel)                                                   = Molten Terrasteel
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
gaia                                              ([no block])                                                                     = Molten Gaia Spirit
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
titanium                                          (tconstruct:molten_titanium)                                                     = Molten Titanium
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
infected_purlonite_water_fluid                    (moreplanets:infected_purlonite_water_fluid)                                     = Infected Purlonite Water
infected_purlonite_lava_fluid                     (moreplanets:infected_purlonite_lava_fluid)                                      = Infected Purlonite Lava
cheese_milk_fluid                                 (moreplanets:cheese_milk_fluid)                                                  = Cheese Milk
gaseous_cheese_milk                               (moreplanets:gaseous_cheese_milk)                                                = Gaseous Cheese Milk
infected_water_fluid_mp                           (moreplanets:infected_water_fluid_mp)                                            = Infected Water
helium_gas                                        (moreplanets:helium_gas)                                                         = Helium Gas
nuclear_waste_fluid                               (moreplanets:nuclear_waste_fluid)                                                = Nuclear Waste
purified_water_fluid                              (moreplanets:purified_water_fluid)                                               = Purified Water
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
elementium                                        (plustic:plustic.molten_elementium)                                              = Molten Elementium
mirion                                            (plustic:plustic.molten_mirion)                                                  = Molten Mirion
desh                                              (plustic:plustic.molten_desh)                                                    = Molten Desh
starmetal                                         (plustic:plustic.molten_starmetal)                                               = Molten Starmetal
etchacid                                          (pneumaticcraft:fluid.etchacid)                                                  = Etching Acid
plastic                                           (pneumaticcraft:fluid.plastic)                                                   = Liquid Plastic
lpg                                               (pneumaticcraft:fluid.lpg)                                                       = LPG
kerosene                                          (pneumaticcraft:fluid.kerosene)                                                  = Kerosene
chocolate_liquor                                  (tcomplement:liquid_chocolate_liquor)                                            = Chocolate Liquor
milk_chocolate                                    (tcomplement:liquid_milk_chocolate)                                              = Milk Chocolate
dark_chocolate                                    (tcomplement:liquid_dark_chocolate)                                              = Dark Chocolate
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
xpjuice                                           ([no block])                                                                     = XP
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
rocketfuel                                        (advancedrocketry:rocketfuel)                                                    = Rocket Fuel
enrichedlava                                      (advancedrocketry:enrichedlavafluid)                                             = Enriched Lava
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
glass                                             (tconstruct:molten_glass)                                                        = Molten Glass
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = Liquid Starlight
oilgc                                             ([no block])                                                                     = fluid.oilgc
fuelgc                                            ([no block])                                                                     = fluid.fuelgc
ec.internal.hydrogen                              ([no block])                                                                     = Hydrogen
ec.internal.oxygen                                ([no block])                                                                     = Oxygen
ec.internal.water                                 ([no block])                                                                     = Water Vapor
ec.internal.chlorine                              ([no block])                                                                     = Chlorine
ec.internal.sulfurdioxide                         ([no block])                                                                     = Sulfur Dioxide
ec.internal.sulfurtrioxide                        ([no block])                                                                     = Sulfur Trioxide
ec.internal.sulfuricacid                          ([no block])                                                                     = Sulfuric Acid
ec.internal.hydrogenchloride                      ([no block])                                                                     = Hydrogen Chloride
ec.internal.ethene                                ([no block])                                                                     = Ethylene
ec.internal.sodium                                ([no block])                                                                     = Sodium
ec.internal.brine                                 ([no block])                                                                     = Gaseous Brine
ec.internal.deuterium                             ([no block])                                                                     = Deuterium
ec.internal.tritium                               ([no block])                                                                     = Tritium
ec.internal.fusionfuel                            ([no block])                                                                     = D-T Fuel
ec.internal.lithium                               ([no block])                                                                     = Lithium
ec.internal.liquidosmium                          ([no block])                                                                     = Liquid Osmium
ec.internal.cleaniron                             ([no block])                                                                     = Clean Iron Slurry
ec.internal.iron                                  ([no block])                                                                     = Iron Slurry
ec.internal.cleangold                             ([no block])                                                                     = Clean Gold Slurry
ec.internal.gold                                  ([no block])                                                                     = Gold Slurry
ec.internal.cleanosmium                           ([no block])                                                                     = Clean Osmium Slurry
ec.internal.osmium                                ([no block])                                                                     = Osmium Slurry
ec.internal.cleancopper                           ([no block])                                                                     = Clean Copper Slurry
ec.internal.copper                                ([no block])                                                                     = Copper Slurry
ec.internal.cleantin                              ([no block])                                                                     = Clean Tin Slurry
ec.internal.tin                                   ([no block])                                                                     = Tin Slurry
ec.internal.cleansilver                           ([no block])                                                                     = Clean Silver Slurry
ec.internal.silver                                ([no block])                                                                     = Silver Slurry
ec.internal.cleanlead                             ([no block])                                                                     = Clean Lead Slurry
ec.internal.lead                                  ([no block])                                                                     = Lead Slurry
ec.internal.cleanuranium                          ([no block])                                                                     = Clean Uranium Slurry
ec.internal.uranium                               ([no block])                                                                     = Uranium Slurry
ec.internal.cleanyellorium                        ([no block])                                                                     = Clean Yellorium Slurry
ec.internal.yellorium                             ([no block])                                                                     = Yellorium Slurry
ec.internal.cleannickel                           ([no block])                                                                     = Clean Nickel Slurry
ec.internal.nickel                                ([no block])                                                                     = Nickel Slurry
ec.internal.cleanplatinum                         ([no block])                                                                     = Clean Platinum Slurry
ec.internal.platinum                              ([no block])                                                                     = Platinum Slurry
ec.internal.cleaniridium                          ([no block])                                                                     = Clean Iridium Slurry
ec.internal.iridium                               ([no block])                                                                     = Iridium Slurry
ec.internal.cleanmithril                          ([no block])                                                                     = Clean Mithril Slurry
ec.internal.mithril                               ([no block])                                                                     = Mithril Slurry
ec.internal.cleanaluminum                         ([no block])                                                                     = Clean Aluminum Slurry
ec.internal.aluminum                              ([no block])                                                                     = Aluminum Slurry
ec.internal.cleancobalt                           ([no block])                                                                     = Clean Cobalt Slurry
ec.internal.cobalt                                ([no block])                                                                     = Cobalt Slurry
ec.internal.cleanardite                           ([no block])                                                                     = Clean Ardite Slurry
ec.internal.ardite                                ([no block])                                                                     = Ardite Slurry
ec.internal.cleanastral_starmetal                 ([no block])                                                                     = Clean Starmetal Slurry
ec.internal.astral_starmetal                      ([no block])                                                                     = Starmetal Slurry
ec.internal.cleandraconium                        ([no block])                                                                     = Clean Draconium Slurry
ec.internal.draconium                             ([no block])                                                                     = Draconium Slurry
ec.internal.cleanberyllium                        ([no block])                                                                     = Clean Beryllium Slurry
ec.internal.beryllium                             ([no block])                                                                     = Beryllium Slurry
ec.internal.cleanboron                            ([no block])                                                                     = Clean Boron Slurry
ec.internal.boron                                 ([no block])                                                                     = Boron Slurry
ec.internal.cleanlithium                          ([no block])                                                                     = Clean Lithium Slurry
ec.internal.cleanmagnesium                        ([no block])                                                                     = Clean Magnesium Slurry
ec.internal.magnesium                             ([no block])                                                                     = Magnesium Slurry
ec.internal.cleanthorium                          ([no block])                                                                     = Clean Thorium Slurry
ec.internal.thorium                               ([no block])                                                                     = Thorium Slurry
ec.internal.cleanzirconium                        ([no block])                                                                     = Clean Zirconium Slurry
ec.internal.zirconium                             ([no block])                                                                     = Zirconium Slurry
ec.internal.cleantitanium                         ([no block])                                                                     = Clean Titanium Slurry
ec.internal.titanium                              ([no block])                                                                     = Titanium Slurry
ec.internal.cleandesh                             ([no block])                                                                     = Clean Desh Slurry
ec.internal.desh                                  ([no block])                                                                     = Desh Slurry
ec.internal.cleancarbon                           ([no block])                                                                     = Clean Carbon Slurry
ec.internal.carbon                                ([no block])                                                                     = Carbon Slurry
ec.internal.cleandark_iron                        ([no block])                                                                     = Clean Dark Iron Slurry
ec.internal.dark_iron                             ([no block])                                                                     = Dark Iron Slurry
ec.internal.cleantungsten                         ([no block])                                                                     = Clean Tungsten Slurry
ec.internal.tungsten                              ([no block])                                                                     = Tungsten Slurry
ec.internal.cleanzinc                             ([no block])                                                                     = Clean Zinc Slurry
ec.internal.zinc                                  ([no block])                                                                     = Zinc Slurry
ec.internal.cleanmercury                          ([no block])                                                                     = Clean Mercury Slurry
ec.internal.mercury                               ([no block])                                                                     = Mercury Slurry
ec.internal.cleanpalladium                        ([no block])                                                                     = Clean Palladium Slurry
ec.internal.palladium                             ([no block])                                                                     = Palladium Slurry
ec.internal.cleandilithium                        ([no block])                                                                     = Clean Dilithium Slurry
ec.internal.dilithium                             ([no block])                                                                     = Dilithium Slurry
ec.internal.cleanadamantine                       ([no block])                                                                     = Clean Adamantine Slurry
ec.internal.adamantine                            ([no block])                                                                     = Adamantine Slurry
ec.internal.cleanalduorite                        ([no block])                                                                     = Clean Alduorite Slurry
ec.internal.alduorite                             ([no block])                                                                     = Alduorite Slurry
ec.internal.cleanastral_silver                    ([no block])                                                                     = Clean Astral Silver Slurry
ec.internal.astral_silver                         ([no block])                                                                     = Astral Silver Slurry
ec.internal.cleanatlarus                          ([no block])                                                                     = Clean Atlarus Slurry
ec.internal.atlarus                               ([no block])                                                                     = Atlarus Slurry
ec.internal.cleancarmot                           ([no block])                                                                     = Clean Carmot Slurry
ec.internal.carmot                                ([no block])                                                                     = Carmot Slurry
ec.internal.cleanceruclase                        ([no block])                                                                     = Clean Ceruclase Slurry
ec.internal.ceruclase                             ([no block])                                                                     = Ceruclase Slurry
ec.internal.cleandeep_iron                        ([no block])                                                                     = Clean Deep Iron Slurry
ec.internal.deep_iron                             ([no block])                                                                     = Deep Iron Slurry
